#v4	V5	V4	out	I(V6)
3.810000000000025e+000	5.000000e+000	3.810000e+000	2.530924e-010	-2.000200e-011
3.800000000000026e+000	5.000000e+000	3.800000e+000	2.535058e-010	-2.000200e-011
3.790000000000026e+000	5.000000e+000	3.790000e+000	2.539234e-010	-2.000200e-011
3.780000000000026e+000	5.000000e+000	3.780000e+000	2.543453e-010	-2.000200e-011
3.770000000000026e+000	5.000000e+000	3.770000e+000	2.547714e-010	-2.000200e-011
3.760000000000026e+000	5.000000e+000	3.760000e+000	2.552020e-010	-2.000200e-011
3.750000000000027e+000	5.000000e+000	3.750000e+000	2.556371e-010	-2.000200e-011
3.740000000000027e+000	5.000000e+000	3.740000e+000	2.560767e-010	-2.000200e-011
3.730000000000027e+000	5.000000e+000	3.730000e+000	2.565209e-010	-2.000200e-011
3.720000000000027e+000	5.000000e+000	3.720000e+000	2.569698e-010	-2.000200e-011
3.710000000000028e+000	5.000000e+000	3.710000e+000	2.574235e-010	-2.000200e-011
3.700000000000028e+000	5.000000e+000	3.700000e+000	2.578820e-010	-2.000200e-011
3.690000000000028e+000	5.000000e+000	3.690000e+000	2.583454e-010	-2.000200e-011
3.680000000000028e+000	5.000000e+000	3.680000e+000	2.588138e-010	-2.000200e-011
3.670000000000028e+000	5.000000e+000	3.670000e+000	2.592873e-010	-2.000200e-011
3.660000000000029e+000	5.000000e+000	3.660000e+000	2.597659e-010	-2.000200e-011
3.650000000000029e+000	5.000000e+000	3.650000e+000	2.602498e-010	-2.000200e-011
3.640000000000029e+000	5.000000e+000	3.640000e+000	2.607390e-010	-2.000200e-011
3.630000000000029e+000	5.000000e+000	3.630000e+000	2.612336e-010	-2.000200e-011
3.620000000000029e+000	5.000000e+000	3.620000e+000	2.617337e-010	-2.000200e-011
3.610000000000030e+000	5.000000e+000	3.610000e+000	2.622395e-010	-2.000200e-011
3.600000000000030e+000	5.000000e+000	3.600000e+000	2.627509e-010	-2.000200e-011
3.590000000000030e+000	5.000000e+000	3.590000e+000	2.632681e-010	-2.000200e-011
3.580000000000030e+000	5.000000e+000	3.580000e+000	2.637912e-010	-2.000200e-011
3.570000000000031e+000	5.000000e+000	3.570000e+000	2.643203e-010	-2.000200e-011
3.560000000000031e+000	5.000000e+000	3.560000e+000	2.648555e-010	-2.000200e-011
3.550000000000031e+000	5.000000e+000	3.550000e+000	2.653969e-010	-2.000200e-011
3.540000000000031e+000	5.000000e+000	3.540000e+000	2.659447e-010	-2.000200e-011
3.530000000000031e+000	5.000000e+000	3.530000e+000	2.664988e-010	-2.000200e-011
3.520000000000032e+000	5.000000e+000	3.520000e+000	2.670595e-010	-2.000200e-011
3.510000000000032e+000	5.000000e+000	3.510000e+000	2.676268e-010	-2.000200e-011
3.500000000000032e+000	5.000000e+000	3.500000e+000	2.682009e-010	-2.000200e-011
3.490000000000032e+000	5.000000e+000	3.490000e+000	2.687818e-010	-2.000200e-011
3.480000000000032e+000	5.000000e+000	3.480000e+000	2.693698e-010	-2.000200e-011
3.470000000000033e+000	5.000000e+000	3.470000e+000	2.699650e-010	-2.000200e-011
3.460000000000033e+000	5.000000e+000	3.460000e+000	2.705674e-010	-2.000200e-011
3.450000000000033e+000	5.000000e+000	3.450000e+000	2.711772e-010	-2.000200e-011
3.440000000000033e+000	5.000000e+000	3.440000e+000	2.717946e-010	-2.000200e-011
3.430000000000034e+000	5.000000e+000	3.430000e+000	2.724197e-010	-2.000200e-011
3.420000000000034e+000	5.000000e+000	3.420000e+000	2.730526e-010	-2.000200e-011
3.410000000000034e+000	5.000000e+000	3.410000e+000	2.736934e-010	-2.000200e-011
3.400000000000034e+000	5.000000e+000	3.400000e+000	2.743424e-010	-2.000200e-011
3.390000000000034e+000	5.000000e+000	3.390000e+000	2.749997e-010	-2.000200e-011
