#Uin1	Uin1	Uin2	out	I(V3)
3.460000000000033e+000	3.460000e+000	0.000000e+000	3.983472e-011	-5.001014e-012
3.450000000000033e+000	3.450000e+000	0.000000e+000	3.998719e-011	-5.001014e-012
3.440000000000033e+000	3.440000e+000	0.000000e+000	4.014155e-011	-5.001014e-012
3.430000000000034e+000	3.430000e+000	0.000000e+000	4.029783e-011	-5.001014e-012
3.420000000000034e+000	3.420000e+000	0.000000e+000	4.045607e-011	-5.001014e-012
3.410000000000034e+000	3.410000e+000	0.000000e+000	4.061631e-011	-5.001014e-012
3.400000000000034e+000	3.400000e+000	0.000000e+000	4.077857e-011	-5.001014e-012
3.390000000000034e+000	3.390000e+000	0.000000e+000	4.094291e-011	-5.001014e-012
3.380000000000035e+000	3.380000e+000	0.000000e+000	4.110937e-011	-5.001014e-012
3.370000000000035e+000	3.370000e+000	0.000000e+000	4.127797e-011	-5.001014e-012
3.360000000000035e+000	3.360000e+000	0.000000e+000	4.144877e-011	-5.001014e-012
3.350000000000035e+000	3.350000e+000	0.000000e+000	4.162181e-011	-5.001014e-012
3.340000000000035e+000	3.340000e+000	0.000000e+000	4.179713e-011	-5.001014e-012
3.330000000000036e+000	3.330000e+000	0.000000e+000	4.197478e-011	-5.001014e-012
3.320000000000036e+000	3.320000e+000	0.000000e+000	4.215481e-011	-5.001014e-012
3.310000000000036e+000	3.310000e+000	0.000000e+000	4.233726e-011	-5.001014e-012
3.300000000000036e+000	3.300000e+000	0.000000e+000	4.252218e-011	-5.001014e-012
3.290000000000037e+000	3.290000e+000	0.000000e+000	4.270962e-011	-5.001014e-012
3.280000000000037e+000	3.280000e+000	0.000000e+000	4.289964e-011	-5.001014e-012
3.270000000000037e+000	3.270000e+000	0.000000e+000	4.309229e-011	-5.001014e-012
3.260000000000037e+000	3.260000e+000	0.000000e+000	4.328762e-011	-5.001014e-012
3.250000000000037e+000	3.250000e+000	0.000000e+000	4.348569e-011	-5.001014e-012
3.240000000000038e+000	3.240000e+000	0.000000e+000	4.368655e-011	-5.001014e-012
3.230000000000038e+000	3.230000e+000	0.000000e+000	4.389028e-011	-5.001014e-012
3.220000000000038e+000	3.220000e+000	0.000000e+000	4.409692e-011	-5.001014e-012
3.210000000000038e+000	3.210000e+000	0.000000e+000	4.430655e-011	-5.001014e-012
3.200000000000038e+000	3.200000e+000	0.000000e+000	4.451922e-011	-5.001014e-012
3.190000000000039e+000	3.190000e+000	0.000000e+000	4.473500e-011	-5.001014e-012
3.180000000000039e+000	3.180000e+000	0.000000e+000	4.495397e-011	-5.001014e-012
3.170000000000039e+000	3.170000e+000	0.000000e+000	4.517619e-011	-5.001014e-012
3.160000000000039e+000	3.160000e+000	0.000000e+000	4.540174e-011	-5.001014e-012
3.150000000000039e+000	3.150000e+000	0.000000e+000	4.563069e-011	-5.001014e-012
3.140000000000040e+000	3.140000e+000	0.000000e+000	4.586312e-011	-5.001014e-012
