time	V(n006)	V(n010)
1.714412784770194e-004	5.000000e+000	1.775760e-011
1.904412784770194e-004	5.000000e+000	1.714614e-011
2.094412784770193e-004	5.000000e+000	1.663236e-011
2.284412784770193e-004	5.000000e+000	1.621626e-011
2.474412784770192e-004	5.000000e+000	1.589785e-011
2.758698499055914e-004	5.000000e+000	1.550029e-011
3.042984213341635e-004	5.000000e+000	1.515720e-011
3.327269927627356e-004	5.000000e+000	1.486859e-011
3.611555641913078e-004	5.000000e+000	1.463446e-011
3.895841356198799e-004	5.000000e+000	1.445481e-011
4.180127070484520e-004	5.000000e+000	1.432963e-011
4.464412784770241e-004	5.000000e+000	1.425892e-011
5.090000000000000e-004	5.000000e+000	1.410933e-011
5.100000000000000e-004	5.000000e+000	2.146457e-011
5.101000000000000e-004	4.950000e+000	-2.049868e-011
5.103000000000000e-004	4.850000e+000	-6.804520e-011
5.125000000000000e-004	3.750000e+000	-1.684322e-010
5.145000000000001e-004	2.750000e+000	-1.793865e-010
5.155474341707721e-004	2.226283e+000	-1.744427e-010
5.157490293965530e-004	2.125485e+000	-1.727097e-010
5.157496092592966e-004	2.125195e+000	-1.727043e-010
5.157507689847837e-004	2.124615e+000	-1.726933e-010
5.157530884357578e-004	2.123456e+000	-1.726689e-010
5.157563156560790e-004	2.121842e+000	-1.726214e-010
5.157598890631363e-004	2.120055e+000	-1.725468e-010
5.157602945792169e-004	2.119853e+000	-1.725358e-010
5.157611056113780e-004	2.119447e+000	-1.725109e-010
5.157627276757002e-004	2.118636e+000	-1.724612e-010
5.157644562064572e-004	2.117772e+000	-1.724082e-010
5.157667976009913e-004	2.116601e+000	-1.723365e-010
5.157714775252174e-004	2.114261e+000	-1.721931e-010
5.157762424945455e-004	2.111879e+000	-1.720471e-010
5.157833297331805e-004	2.108335e+000	-1.718299e-010
5.157910330460313e-004	2.104483e+000	-1.715939e-010
5.158017320295171e-004	2.099134e+000	-1.712662e-010
5.158140546563987e-004	2.092973e+000	-1.708887e-010
5.158304657354920e-004	2.084767e+000	-1.703859e-010
5.158500195472825e-004	2.074990e+000	-1.697867e-010
5.158754386865451e-004	2.062281e+000	-1.690075e-010
5.159063830217680e-004	2.046808e+000	-1.680580e-010
5.159460902543259e-004	2.026955e+000	-1.668379e-010
5.159951308237407e-004	2.002434e+000	-1.653272e-010
5.160576887170827e-004	1.971156e+000	-1.633915e-010
5.161357748347119e-004	1.932113e+000	-1.609580e-010
5.162283406220386e-004	1.885830e+000	-1.580416e-010
5.163340577295973e-004	1.832971e+000	-1.546800e-010
5.164315263593277e-004	1.784237e+000	-1.516024e-010
5.165378547034769e-004	1.731073e+000	-1.483585e-010
5.167160500326018e-004	1.641975e+000	-1.432004e-010
5.169021705277538e-004	1.548915e+000	-1.382197e-010
5.172744115180577e-004	1.362794e+000	-1.292558e-010
5.176622358914325e-004	1.168882e+000	-1.211663e-010
5.182776716551421e-004	8.611642e-001	-1.105920e-010
5.189888347505513e-004	5.055826e-001	-1.002747e-010
5.190223304988975e-004	4.888347e-001	-9.987403e-011
5.191559796301641e-004	4.220102e-001	-9.837626e-011
5.193339558971072e-004	3.330221e-001	-9.651388e-011
5.196440474661137e-004	1.779763e-001	-9.353961e-011
5.200000000000001e-004	0.000000e+000	-9.039304e-011
5.200355952533888e-004	0.000000e+000	-8.844199e-011
5.201067857601660e-004	0.000000e+000	-8.461514e-011
5.202491667737206e-004	0.000000e+000	-7.732324e-011
5.211034528550478e-004	0.000000e+000	-4.190941e-011
5.221034528550478e-004	0.000000e+000	-1.178299e-011
5.231034528550479e-004	0.000000e+000	9.860893e-012
5.251034528550479e-004	0.000000e+000	3.453055e-011
5.271034528550480e-004	0.000000e+000	4.590081e-011
5.301034528550480e-004	0.000000e+000	5.258004e-011
5.331034528550481e-004	0.000000e+000	5.467000e-011
5.341034528550481e-004	0.000000e+000	5.497562e-011
5.351034528550482e-004	0.000000e+000	5.518310e-011
5.361034528550482e-004	0.000000e+000	5.532396e-011
5.371034528550482e-004	0.000000e+000	5.541959e-011
5.381034528550482e-004	0.000000e+000	5.548679e-011
5.386051369485979e-004	0.000000e+000	5.551203e-011
5.389180456430843e-004	0.000000e+000	5.552478e-011
5.391212497478446e-004	0.000000e+000	5.553214e-011
5.392780525006574e-004	0.000000e+000	5.553740e-011
5.393934600554770e-004	0.000000e+000	5.554106e-011
5.394960872302050e-004	0.000000e+000	5.554418e-011
5.395697488745012e-004	0.000000e+000	5.554635e-011
5.396300622000033e-004	0.000000e+000	5.554807e-011
5.396767025996993e-004	0.000000e+000	5.554938e-011
5.397149476370008e-004	0.000000e+000	5.555043e-011
5.397471794525965e-004	0.000000e+000	5.555131e-011
5.397837054800870e-004	0.000000e+000	5.555228e-011
5.398196310197067e-004	0.000000e+000	5.555323e-011
5.398600955166374e-004	0.000000e+000	5.555428e-011
5.406178667930992e-004	0.000000e+000	5.556921e-011
5.413756380695609e-004	0.000000e+000	5.558194e-011
5.421334093460227e-004	0.000000e+000	5.559248e-011
5.428911806224844e-004	0.000000e+000	5.560083e-011
5.436489518989462e-004	0.000000e+000	5.560699e-011
5.444067231754079e-004	0.000000e+000	5.561097e-011
5.451644944518696e-004	0.000000e+000	5.561275e-011
5.461644944518697e-004	0.000000e+000	5.561565e-011
5.471644944518697e-004	0.000000e+000	5.561761e-011
5.491644944518697e-004	0.000000e+000	5.561986e-011
5.511644944518698e-004	0.000000e+000	5.562089e-011
5.521644944518698e-004	0.000000e+000	5.562117e-011
5.531644944518698e-004	0.000000e+000	5.562137e-011
